id,team
1,Sunrisers Hyderabad
2,Mumbai Indians
3,Gujarat Lions
4,Rising Pune Supergiant
5,Royal Challengers Bangalore
6,Kolkata Knight Riders
7,Delhi Daredevils
8,Kings XI Punjab
9,Kochi Tuskers Kerala
10,Deccan Chargers
11,Rajasthan Royals
12,Pune Warriors
13,Chennai Super Kings
